0	1346.75	409.75
1	1339.1	409.4
2	1329.2833252	408.983331299
3	1316.38359375	408.544775391
4	1303.33530273	408.470587158
5	1290.3	408.2
6	1278.05	407.95
7	1265.17250977	407.372497559
8	1252.69890137	406.79888916
9	1239.95546875	406.567883301
10	1226.9	406.0
11	1213.25068359	405.934246826
12	1200.6333252	405.733331299
13	1187.8333252	405.133331299
14	1173.1	404.9
15	1159.9	404.9
16	1148.08000488	404.920001221
17	1133.4833252	403.791668701
18	1121.99355469	403.377508545
19	1107.06843262	403.19473877
20	1094.8	403.0
21	1081.5	402.6
22	1068.02856445	402.61428833
23	1055.09558105	402.24151001
24	1041.7	402.2
25	1028.3	401.6
26	1015.58665771	401.1
27	1002.1333252	400.5
28	988.558666992	400.4
29	975.386657715	399.8
30	962.110412598	399.5
31	948.316796875	398.910449219
32	935.3	398.3
33	922.293334961	398.4
34	908.606384277	397.9
35	895.217370605	397.045703125
36	882.009765625	397.103637695
37	868.555004883	396.461700439
38	855.4	396.0
39	841.080004883	395.1
40	827.693225098	394.838464355
41	814.095959473	394.479437256
42	800.259326172	394.274578857
43	787.025134277	394.009753418
44	774.3	393.8
45	760.464001465	393.2
46	746.468005371	392.3
47	732.368005371	391.4
48	718.357141113	390.971429443
49	706.969396973	390.591571045
50	691.9	390.4
51	678.157409668	390.334259033
52	664.250244141	389.71192627
53	650.638330078	389.717883301
54	636.939172363	388.988659668
55	623.35	389.25
56	609.3	387.9
57	595.4	387.8
58	582.040002441	388.040002441
59	568.262158203	387.733666992
60	555.090612793	386.800750732
61	540.9	386.9
62	526.025805664	386.737097168
63	512.781005859	387.087896729
64	499.08571167	386.71428833
65	485.620501709	386.838104248
66	472.1	387.1
67	462.545257568	390.954656982
68	458.900134277	401.026672363
69	457.531860352	411.079675293
70	457.265576172	422.608410645
71	458.118798828	433.61628418
72	458.732562256	444.111743164
73	466.366705322	449.198455811
74	479.402630615	450.191119385
75	491.843371582	451.100469971
76	505.50189209	451.232080078
77	519.287640381	451.572692871
78	532.976000977	451.9
79	544.581481934	451.669134521
80	560.977990723	451.929345703
81	573.267651367	452.028594971
82	586.385571289	452.355010986
83	599.80904541	452.614678955
84	612.509094238	453.454547119
85	627.548828125	453.584613037
86	639.724060059	453.846520996
87	654.741662598	454.1
88	668.055175781	454.041381836
89	681.6	454.7
90	695.403918457	454.956860352
91	710.200427246	455.851849365
92	723.996630859	455.851965332
93	736.85	456.3
94	750.372827148	456.531768799
95	764.615942383	457.53059082
96	778.2	457.2
97	789.677380371	458.261901855
98	804.704760742	458.323803711
99	818.06661377	458.605407715
100	831.5	459.4
101	845.146289063	460.280163574
102	858.458825684	460.8
103	872.201330566	461.111322021
104	885.584960938	462.146807861
105	898.589880371	462.309753418
106	911.9	462.9
107	925.2578125	463.069171143
108	938.993334961	464.0
109	952.006567383	463.905108643
110	965.3	464.8
111	978.209094238	465.4
112	991.621533203	465.647943115
113	1005.26320801	465.853546143
114	1018.41647949	466.800927734
115	1032.00180664	467.254547119
116	1044.76098633	467.858203125
117	1057.25715332	467.8
118	1070.68193359	467.816516113
119	1084.07438965	467.424707031
120	1097.85556641	468.0
121	1111.5416748	468.325
122	1124.89116211	468.2722229
123	1137.43352051	468.592352295
124	1148.65754395	468.73190918
125	1161.85214844	468.997381592
126	1174.81569824	469.207739258
127	1188.0	469.341668701
128	1201.30927734	469.670843506
129	1214.28000488	469.820001221
130	1229.5	470.2
131	1239.5291748	470.794671631
132	1252.2	471.7
133	1264.84492187	472.362316895
134	1277.68984375	472.424633789
135	1290.68000488	473.120001221
136	1303.3	474.0
137	1318.3	475.0
138	1328.29511719	475.88536377
139	1341.72722168	476.852050781
140	1363.7838623	479.664550781
141	1372.64794922	489.908123779
142	1371.04182129	502.947399902
143	1369.29953613	516.451275635
144	1360.39641113	530.850549316
145	1346.70908203	537.465148926
146	1336.78000488	537.7
147	1324.3	536.869226074
148	1312.3333252	538.215380859
149	1300.2	537.5
150	1287.34204102	537.710144043
151	1274.16054687	537.931347656
152	1261.29523926	537.7
153	1248.7	537.12857666
154	1235.4777832	536.738891602
155	1222.59626465	536.581347656
156	1210.04260254	536.179846191
157	1197.60332031	535.946337891
158	1184.33913574	535.986950684
159	1169.65317383	535.063537598
160	1157.77963867	534.692456055
161	1144.40830078	534.712463379
162	1132.97526855	534.611523437
163	1118.74665527	534.219702148
164	1104.51208496	533.796777344
165	1091.57741699	533.874194336
166	1080.0	533.5
167	1066.71274414	533.586035156
168	1053.52458496	533.494470215
169	1040.7	533.311108398
170	1027.38239746	533.264001465
171	1013.75	532.3
172	1001.69614258	532.248132324
173	988.31394043	532.774841309
174	975.097717285	531.976818848
175	961.7125	532.3375
176	948.440893555	531.938818359
177	935.195776367	531.744616699
178	922.513330078	531.590002441
179	909.011572266	531.446032715
180	894.945153809	531.339135742
181	881.434301758	531.602282715
182	868.095202637	531.476464844
183	854.61875	531.7
184	841.833337402	531.5
185	828.539501953	531.0375
186	815.416333008	530.764868164
187	802.198864746	530.577539063
188	788.961914062	530.390637207
189	775.446533203	529.96373291
190	761.93840332	529.991308594
191	748.9	529.759997559
192	735.235668945	529.404272461
193	721.686108398	529.275
194	707.808740234	528.242248535
195	695.947583008	527.996691895
196	681.036853027	528.049841309
197	667.492102051	527.846130371
198	654.059765625	527.716540527
199	642.042773438	527.361376953
200	626.801574707	527.233337402
201	614.891113281	526.883154297
202	599.292077637	526.534680176
203	587.023864746	526.382226563
204	573.383374023	526.287878418
205	560.188049316	525.929919434
206	547.44161377	526.1
